Accessoire_de_contrainte
Bâillon_(BDSM)
Barre_d'écartement
Cage_de_chasteté
Camisole_de_force_dans_le_BDSM
Ceinture_de_chasteté
Collier_(BDSM)
Collier_de_posture
Menottes
Monogant
Pince_à_sein
Sling
Peter_Berlin
Steve_Holmes
Harry_S._Morgan
Hakan_Serbes
Buck_Adams
Jay_Ashley
Barrett_Blade
James_Bonn
T.T.Boy
Buck_Angel
Robert_Bullock
Seymore_Butts
Tom_Byron
Johnny_Castle
Xander_Corvus
Michael_J._Cox
Anthony_Crane
Dane_Cross
Dave_Cummings
Dale_DaBone
James_Deen
Charles_Dera
Jon_Dough
Steve_Drake
Eric_Edwards
Rod_Fontana
Seth_Gamble
Michael_Gaunt
Jamie_Gillis
Jay_Grdina
Tommy_Gunn_(acteur_pornographique)
Max_Hardcore
Dave_Hardman
Roman_Heart
John_C._Holmes
Mike_Horner
Chad_Hunt
Ron_Jeremy
Jules_Jordan
Julian_(acteur_pornographique)
Chad_Knight
Jonathan_Koppenhaver
Joel_Lawrence
John_Leslie_(acteur)
Kurt_Lockwood
Mandingo_(acteur_pornographique)
Nick_Manning
Jon_Martin
Sean_Michaels
Rodney_Moore
Jonathan_Morgan
Mr._Marcus
Scott_Nails
Peter_North
Scott_O'Hara
Henri_Pachard
Richard_Pacheco
Al_Parker
Derrick_Pierce
Tommy_Pistol
Ed_Powers
Jackson_Price
Brian_Pumper
Jack_Radcliffe
Harry_Reems
Anthony_Rosano
Matthew_Rush
Ken_Ryker
Matt_Sanchez
Alex_Sanders_(acteur)
Herschel_Savage
Evan_Seinfeld
Joey_Silvera
Randy_Spears
Steven_St._Croix
Alan_Stafford
John_Stagliano
Jake_Steed
Lexington_Steele
Joey_Stefano
Michael_Stefano
Evan_Stone
Jeff_Stryker
Eric_Swiss
Colby_Taylor
Tony_Tedeschi
Paul_Thomas_(réalisateur)
Jeremy_Tucker
Tiger_Tyson
Vince_Vouyer
Marc_Wallice
Randy_West
Mason_Wyler
Catégorie:Acteur_américain_jouant_dans_des_films_pornographiques_gays
Rafael_Alencar
Brad_Armstrong
Mark_Ashley
Richard_Darbois
Brent_Everett
Erik_Everhard
Brandon_Iron
Luka_Rocco_Magnotta
J.T._Sloan
Catégorie:Acteur_canadien_jouant_dans_des_films_pornographiques_gays
Jean-Pierre_Armand
Dominique_Aveline
Sebastian_Barrio
Marc_Barrow
Désiré_Bastareaud
Tony_Carrera
Greg_Centauro
Alban_Ceray
Christophe_Clark
Benoit_Clerc
Fred_Coppula
Philippe_Dean
Alain_Deloin
Guillaume_Faye
Manuel_Ferrara
Phil_Hollyday
HPG
Joachim_Kessef
Richard_Langin
Jean-Yves_Le_Castel
Richard_Lemieuvre
Kevin_Long_(acteur)
Olivier_Mathot
David_Perry_(acteur)
Manu_Pluton
Gabriel_Pontello
John_B._Root
François_Sagat
Thierry_Schaffauser
Yanick_Shaft
Piotr_Stanislas
Bruno_Sx
Titof
Jean_Val_Jean
Karim_Yahoui
Catégorie:Acteur_français_jouant_dans_des_films_pornographiques_gays
Frank_Gun
Catégorie:Acteur_hongrois_jouant_dans_des_films_pornographiques_gays
Francesco_Malcom
Roberto_Malone
Mark_Shannon
Rocco_Siffredi
Taka_Kato
Mitsuyasu_Maeno
Yoshiya_Minami
Chocoball_Mukai
Giichi_Nishihara
Ken_Shimizu
Shigeo_Tokuda
Micky_Yanai
Catégorie:Acteur_tchèque_jouant_dans_des_films_pornographiques_gays
Amarna_Miller
Bridgette_B
Sonia_Baby
Alba_Del_Monte
Lupe_Fuentes
Rebeca_Linares
Lina_Romay
Black_Angelika
Clara_G
Lea_Lexis
Sandra_Romain
Clitoris
Glande_de_Bartholin
Grande_lèvre
Lèvres_vaginales
Pénis_humain
Petite_lèvre
Scrotum
Testicule
Vagin
Catégorie:Andrologie
Catégorie:Caractère_sexuel_secondaire
Catégorie:Mutilation_génitale
Annexes_utérines
Caduque_basale
Cunnilingus
Éjaculation_féminine
Excision
Greffe_d'utérus
Hyménoplastie
Infibulation
Macronymphie
Ménarche
Mutilations_génitales_féminines
Ovogenèse
Sécrétion_vaginale
Catégorie:Hormone_ovarienne
Les_Amants_de_Ain_Sakhri
Art_érotique
Fondation_internationale_d'arts_et_littératures_érotiques
Histoire_des_représentations_érotiques
Irving_Klaw
L'Origine_du_monde
Shunga_(gravure)
Les_Sucettes
Catégorie:Pin-up
Adventures_of_Sweet_Gwendoline
Affaire_Spanner
Algolagnie
Asphyxie_érotique
Auto-bondage
Bondage
Bondage_japonais
Bondage_de_suspension
Bondage_des_testicules_et_torture_du_pénis
Bondage_et_discipline,_domination_et_soumission,_sado-masochisme
Pierre_Bourgeade
Gloria_Brame
Bunker_de_Berlin
Les_Cent_Vingt_Journées_de_Sodome
Maîtresse_Cindy
Collier_(BDSM)
Communauté_cuir
Contrat_masochiste
Cuckolding
Culture_Goréenne
Dilatation_sexuelle
Discipline_(BDSM)
Domination_et_soumission
Xavier_Duvet
Piétinement
Émétophilie
Esclavage_sexuel_(BDSM)
Extase_masochiste
Facesitting
